"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.36322694143990086","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-10T09:46:41.000Z","5749","finished"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.37845383006572897","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-10T09:45:26.000Z","3891","finished"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.3673627933627819","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-10T09:44:23.000Z","922","finished"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.09734061881612932","TabPFN-v2p5 🇩🇪","txt","4","2026-04-10T09:43:45.000Z","208","finished"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.2976481184913564","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-10T09:38:58.000Z","4521","finished"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.3019020413498529","TabPFN-v2 🤯","ft-txt","4","2026-04-10T09:36:18.000Z","3914","finished"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.29662612431754265","TabPFN-v2 🤯","non_txt","4","2026-04-10T09:36:09.000Z","452","finished"
"tabpfnv2_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.08252322911709886","TabPFN-v2 🤯","txt","4","2026-04-10T09:32:40.000Z","205","finished"
"tabm_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.4100596620515417","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-10T09:32:12.000Z","3322","finished"
"tabm_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.31718932441051817","TabM Ⓜ️","ft-txt","4","2026-04-10T09:30:57.000Z","2830","finished"
"tabm_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.3893729960944155","TabM Ⓜ️","non_txt","4","2026-04-10T09:29:55.000Z","862","finished"
"tabm_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.08159258499037103","TabM Ⓜ️","txt","4","2026-04-10T09:29:14.000Z","198","finished"
"cat_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.36011788132810507","CatBoost 😸","ft-img-ft-txt","4","2026-04-10T09:27:01.000Z","3422","finished"
"cat_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.3702343332120081","CatBoost 😸","ft-txt","4","2026-04-10T09:26:53.000Z","2835","finished"
"cat_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.30719480294877965","CatBoost 😸","non_txt","4","2026-04-10T09:24:20.000Z","873","finished"
"cat_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.04671349790581891","CatBoost 😸","txt","4","2026-04-10T09:24:19.000Z","158","finished"
"light_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.33618377803556654","LightGBM 💡","ft-img-ft-txt","4","2026-04-10T09:24:09.000Z","3352","finished"
"light_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.33382181558506874","LightGBM 💡","ft-txt","4","2026-04-10T09:24:03.000Z","2802","finished"
"light_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.3021801908795485","LightGBM 💡","non_txt","4","2026-04-10T09:21:55.000Z","858","finished"
"light_REG_IMAGE_PAINTING_PRICE_4","REG_IMAGE_PAINTING_PRICE","0.07520441429493074","LightGBM 💡","txt","4","2026-04-10T09:19:17.000Z","150","finished"
"tabpfnv2p5_REG_IMAGE_PAINTING_PRICE_3","REG_IMAGE_PAINTING_PRICE","0.3071203779867724","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","3","2026-04-10T09:18:55.000Z","3785","finished"
