"Name","dataset_name","test_score","model","multimodal_state","fold","Created","Runtime","State","metrics_dict.metrics.auc","metrics_dict.metrics.logloss"
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.6103003572697422","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","4","2026-04-10T01:14:27.000Z","1775","finished","",""
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5718858957904844","TabPFN-v2p5 🇩🇪","ft-txt","4","2026-04-10T01:13:19.000Z","1496","finished","",""
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.4937583836805984","TabPFN-v2p5 🇩🇪","non_txt","4","2026-04-10T01:13:14.000Z","344","finished","",""
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.23516609829290724","TabPFN-v2p5 🇩🇪","txt","4","2026-04-10T01:12:42.000Z","97","finished","",""
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.605770425970451","TabPFN-v2 🤯","ft-img-ft-txt","4","2026-04-10T01:12:04.000Z","1788","finished","",""
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5647250197355915","TabPFN-v2 🤯","ft-txt","4","2026-04-10T01:11:26.000Z","1500","finished","",""
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.4887912316370453","TabPFN-v2 🤯","non_txt","4","2026-04-10T01:11:10.000Z","405","finished","",""
"tabpfnv2_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.2306260576939787","TabPFN-v2 🤯","txt","4","2026-04-10T01:10:57.000Z","100","finished","",""
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.610334893645208","TabM Ⓜ️","ft-img-ft-txt","4","2026-04-10T01:10:04.000Z","1365","finished","",""
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5534969264311034","TabM Ⓜ️","ft-txt","4","2026-04-10T01:08:43.000Z","1086","finished","",""
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.4614589982523061","TabM Ⓜ️","non_txt","4","2026-04-10T01:07:51.000Z","317","finished","",""
"tabm_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.22798852576676387","TabM Ⓜ️","txt","4","2026-04-10T01:07:09.000Z","90","finished","",""
"cat_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5888788503300555","CatBoost 😸","ft-img-ft-txt","4","2026-04-10T01:06:51.000Z","1409","finished","",""
"cat_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5479013905269999","CatBoost 😸","ft-txt","4","2026-04-10T01:06:33.000Z","1085","finished","",""
"cat_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.4584078862091787","CatBoost 😸","non_txt","4","2026-04-10T01:05:56.000Z","326","finished","",""
"cat_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.21054863331702645","CatBoost 😸","txt","4","2026-04-10T01:05:13.000Z","112","finished","",""
"light_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5898254545725784","LightGBM 💡","ft-img-ft-txt","4","2026-04-10T01:03:55.000Z","1371","finished","",""
"light_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.5186732071462821","LightGBM 💡","ft-txt","4","2026-04-10T01:02:34.000Z","1132","finished","",""
"light_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.44681437755414855","LightGBM 💡","non_txt","4","2026-04-10T01:02:32.000Z","313","finished","",""
"light_REG_IMAGE_AMAZON_PACKAGES_4","REG_IMAGE_AMAZON_PACKAGES","0.19475506815825896","LightGBM 💡","txt","4","2026-04-10T01:02:21.000Z","87","finished","",""
"tabpfnv2p5_REG_IMAGE_AMAZON_PACKAGES_3","REG_IMAGE_AMAZON_PACKAGES","0.6440781139625603","TabPFN-v2p5 🇩🇪","ft-img-ft-txt","3","2026-04-10T01:01:27.000Z","2169","finished","",""
