"Name","test_score","fold","multimodal_state","model","Created","dataset","Runtime","State","Hostname"
"light_MUL_IMAGE_HUBMAP_HPA_0","0.952545769452502","0","ft","LightGBM 💡","2026-04-02T08:29:36.000Z","MUL_IMAGE_HUBMAP_HPA","852","finished","nlp20.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_0","0.8548075928770871","0","non","LightGBM 💡","2026-04-02T08:29:34.000Z","MUL_IMAGE_HUBMAP_HPA","124","finished","nlp-srv2.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_0","0.9481772393611272","0","all","LightGBM 💡","2026-04-02T08:29:07.000Z","MUL_IMAGE_HUBMAP_HPA","490","finished","nlp18.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.8903435612752038","4","img","TabPFN-v2 🤯","2026-04-01T22:41:39.000Z","MUL_IMAGE_HUBMAP_HPA","198","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.9735508326404082","4","ft","TabPFN-v2 🤯","2026-04-01T22:40:46.000Z","MUL_IMAGE_HUBMAP_HPA","597","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.8733558293672644","4","non","TabPFN-v2 🤯","2026-04-01T22:39:43.000Z","MUL_IMAGE_HUBMAP_HPA","108","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_4","0.957340170387744","4","all","TabPFN-v2 🤯","2026-04-01T22:34:33.000Z","MUL_IMAGE_HUBMAP_HPA","305","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.9066765960826558","4","img","TabPFN-v2p5 🇩🇪","2026-04-01T22:30:53.000Z","MUL_IMAGE_HUBMAP_HPA","213","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.9756083848286348","4","ft","TabPFN-v2p5 🇩🇪","2026-04-01T22:29:55.000Z","MUL_IMAGE_HUBMAP_HPA","641","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.8734816344362661","4","non","TabPFN-v2p5 🇩🇪","2026-04-01T22:28:57.000Z","MUL_IMAGE_HUBMAP_HPA","109","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_4","0.9697961937988872","4","all","TabPFN-v2p5 🇩🇪","2026-04-01T22:24:38.000Z","MUL_IMAGE_HUBMAP_HPA","296","finished","nlp-srv2.iem.technion.ac.il"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.9150085470395524","4","img","TabM Ⓜ️","2026-04-01T22:21:14.000Z","MUL_IMAGE_HUBMAP_HPA","198","finished","nlp-srv2.iem.technion.ac.il"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.9707856042401228","4","ft","TabM Ⓜ️","2026-04-01T22:19:31.000Z","MUL_IMAGE_HUBMAP_HPA","562","finished","nlp-srv2.iem.technion.ac.il"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.8562359093216478","4","non","TabM Ⓜ️","2026-04-01T22:19:28.000Z","MUL_IMAGE_HUBMAP_HPA","100","finished","nlp-srv2.iem.technion.ac.il"
"tabm_MUL_IMAGE_HUBMAP_HPA_4","0.970003237209246","4","all","TabM Ⓜ️","2026-04-01T22:14:40.000Z","MUL_IMAGE_HUBMAP_HPA","281","finished","nlp-srv2.iem.technion.ac.il"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.8892737793599069","4","img","CatBoost 😸","2026-04-01T22:11:26.000Z","MUL_IMAGE_HUBMAP_HPA","191","finished","nlp-srv2.iem.technion.ac.il"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.9647189699237542","4","ft","CatBoost 😸","2026-04-01T22:10:05.000Z","MUL_IMAGE_HUBMAP_HPA","561","finished","nlp-srv2.iem.technion.ac.il"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.8727250983395706","4","non","CatBoost 😸","2026-04-01T22:09:02.000Z","MUL_IMAGE_HUBMAP_HPA","121","finished","nlp-srv2.iem.technion.ac.il"
"cat_MUL_IMAGE_HUBMAP_HPA_4","0.9560576483486294","4","all","CatBoost 😸","2026-04-01T22:04:40.000Z","MUL_IMAGE_HUBMAP_HPA","318","finished","nlp-srv2.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.8609437546459283","4","img","LightGBM 💡","2026-04-01T22:01:36.000Z","MUL_IMAGE_HUBMAP_HPA","177","finished","nlp-srv2.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.9566403653668658","4","ft","LightGBM 💡","2026-04-01T22:00:00.000Z","MUL_IMAGE_HUBMAP_HPA","534","finished","nlp-srv2.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.8470958781592476","4","non","LightGBM 💡","2026-04-01T21:59:55.000Z","MUL_IMAGE_HUBMAP_HPA","98","finished","nlp-srv2.iem.technion.ac.il"
"light_MUL_IMAGE_HUBMAP_HPA_4","0.9446730193417184","4","all","LightGBM 💡","2026-04-01T21:55:33.000Z","MUL_IMAGE_HUBMAP_HPA","259","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.8840752452770652","3","img","TabPFN-v2 🤯","2026-04-01T21:51:51.000Z","MUL_IMAGE_HUBMAP_HPA","197","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.9729014257308416","3","ft","TabPFN-v2 🤯","2026-04-01T21:50:12.000Z","MUL_IMAGE_HUBMAP_HPA","582","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.8653937327955761","3","non","TabPFN-v2 🤯","2026-04-01T21:50:00.000Z","MUL_IMAGE_HUBMAP_HPA","107","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2_MUL_IMAGE_HUBMAP_HPA_3","0.9527980537430772","3","all","TabPFN-v2 🤯","2026-04-01T21:45:28.000Z","MUL_IMAGE_HUBMAP_HPA","277","finished","nlp-srv2.iem.technion.ac.il"
"tabpfnv2p5_MUL_IMAGE_HUBMAP_HPA_3","0.9006781946538162","3","img","TabPFN-v2p5 🇩🇪","2026-04-01T21:42:18.000Z","MUL_IMAGE_HUBMAP_HPA","184","finished","nlp-srv2.iem.technion.ac.il"
