"Name","test_score","fold","multimodal_state","parameters.dino_models","model","Created","dataset","Runtime"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.5773703142968335","4","img","","TabPFN-v2 🤯","2026-03-29T22:38:08.000Z","REG_IMAGE_MANGO_MASS","16"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.7133464202003679","4","ft","","TabPFN-v2 🤯","2026-03-29T22:36:33.000Z","REG_IMAGE_MANGO_MASS","91"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.06540312299436746","4","non","","TabPFN-v2 🤯","2026-03-29T22:36:11.000Z","REG_IMAGE_MANGO_MASS","15"
"tabpfnv2_REG_IMAGE_MANGO_MASS_4","0.5619251617946308","4","all","","TabPFN-v2 🤯","2026-03-29T22:35:49.000Z","REG_IMAGE_MANGO_MASS","17"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.5785408222058588","4","img","","TabPFN-v2p5 🇩🇪","2026-03-29T22:35:28.000Z","REG_IMAGE_MANGO_MASS","18"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.679767036751369","4","ft","","TabPFN-v2p5 🇩🇪","2026-03-29T22:33:53.000Z","REG_IMAGE_MANGO_MASS","90"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.14213311654248306","4","non","","TabPFN-v2p5 🇩🇪","2026-03-29T22:33:32.000Z","REG_IMAGE_MANGO_MASS","14"
"tabpfnv2p5_REG_IMAGE_MANGO_MASS_4","0.5828192185657826","4","all","","TabPFN-v2p5 🇩🇪","2026-03-29T22:33:10.000Z","REG_IMAGE_MANGO_MASS","17"
"tabm_REG_IMAGE_MANGO_MASS_4","0.592765689136389","4","img","","TabM Ⓜ️","2026-03-29T22:32:49.000Z","REG_IMAGE_MANGO_MASS","17"
"tabm_REG_IMAGE_MANGO_MASS_4","0.7526265651887399","4","ft","","TabM Ⓜ️","2026-03-29T22:31:09.000Z","REG_IMAGE_MANGO_MASS","96"
"tabm_REG_IMAGE_MANGO_MASS_4","0.15491998937536955","4","non","","TabM Ⓜ️","2026-03-29T22:30:53.000Z","REG_IMAGE_MANGO_MASS","13"
