"Name","Created","model","fold","dataset","test_score","multimodal_state","Commit","Runtime"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:23:13.000Z","TabM Ⓜ️","4","MUL_TEXT_FOOD_WINE_REVIEW","0.8566582641548997","no_text","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","43"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:19:16.000Z","TabM Ⓜ️","4","MUL_TEXT_FOOD_WINE_REVIEW","0.977773899712222","text_only","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","159"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:18:43.000Z","TabM Ⓜ️","4","MUL_TEXT_FOOD_WINE_REVIEW","0.983838163984338","ft","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","2777"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:15:56.000Z","TabM Ⓜ️","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9793748921820786","all","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","159"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:13:38.000Z","CatBoost 😸","4","MUL_TEXT_FOOD_WINE_REVIEW","0.8602493676992368","no_text","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","131"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:07:26.000Z","CatBoost 😸","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9741140571385266","text_only","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","364"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:07:12.000Z","CatBoost 😸","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9826700712936774","ft","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","3155"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:06:55.000Z","CatBoost 😸","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9754405838394404","all","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","732"
"light_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:06:45.000Z","LightGBM 💡","4","MUL_TEXT_FOOD_WINE_REVIEW","0.8299745755645825","no_text","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","24"
"light_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:04:41.000Z","LightGBM 💡","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9647012894485736","text_only","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","160"
"light_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:04:22.000Z","LightGBM 💡","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9789239145482108","ft","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","2782"
"light_MUL_TEXT_FOOD_WINE_REVIEW_4","2026-03-04T16:04:06.000Z","LightGBM 💡","4","MUL_TEXT_FOOD_WINE_REVIEW","0.9672509023650744","all","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","164"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T16:02:06.000Z","TabM Ⓜ️","3","MUL_TEXT_FOOD_WINE_REVIEW","0.8549171371112148","no_text","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","43"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T16:01:35.000Z","TabM Ⓜ️","3","MUL_TEXT_FOOD_WINE_REVIEW","0.9767444779969384","text_only","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","178"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T15:58:33.000Z","TabM Ⓜ️","3","MUL_TEXT_FOOD_WINE_REVIEW","0.9824613908370916","ft","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","2148"
"tabm_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T15:57:31.000Z","TabM Ⓜ️","3","MUL_TEXT_FOOD_WINE_REVIEW","0.977036833068626","all","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","164"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T15:56:10.000Z","CatBoost 😸","3","MUL_TEXT_FOOD_WINE_REVIEW","0.8548362202887065","no_text","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","139"
"cat_MUL_TEXT_FOOD_WINE_REVIEW_3","2026-03-04T15:55:12.000Z","CatBoost 😸","3","MUL_TEXT_FOOD_WINE_REVIEW","0.9719155424826924","text_only","4a37d5b6f42cd9796d15c3a9a8ab66077186f4e3","474"
