"Name","test_score","fold","model","dataset","multimodal_state","Hostname","State","Runtime","Created","timestamp"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_3","0.039646949834410306","3","TabICLv2 🗼","REG_TEXT_VIDEO_GAMES_SALES","no_text","nlp-srv3.dds.technion.ac.il","finished","12","2026-07-25T14:22:55.000Z","2026-07-25 17:22:45"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3","0.8047746063929464","3","TabDPT 6️⃣","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","no_text","nlp-srv3.dds.technion.ac.il","finished","204","2026-07-25T14:17:44.000Z","2026-07-25 17:20:46"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN_3","0.5512055251782051","3","TabDPT 6️⃣","REG_TEXT_TRANSPORTATION_USED_CAR_PAKISTAN","text_only","n305","finished","599","2026-07-25T14:15:48.000Z","2026-07-25 17:25:45"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_3","-394.1924133300781","3","TabDPT 6️⃣","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","no_text","nlp-srv3.dds.technion.ac.il","finished","168","2026-07-25T14:15:04.000Z","2026-07-25 17:17:30"
"dpt_REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY_3","-186.57652282714844","3","TabDPT 6️⃣","REG_TEXT_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY","text_only","nlp-srv3.dds.technion.ac.il","finished","206","2026-07-25T14:14:15.000Z","2026-07-25 17:17:19"
"dpt_REG_TEXT_SOCIAL_BOOKS_GOODREADS_3","0.2582233094160886","3","TabDPT 6️⃣","REG_TEXT_SOCIAL_BOOKS_GOODREADS","text_only","n306","finished","317","2026-07-25T14:12:18.000Z","2026-07-25 17:17:34"
"dpt_REG_TEXT_SPORTS_FIFA22_WAGES_3","0.06908073195555797","3","TabDPT 6️⃣","REG_TEXT_SPORTS_FIFA22_WAGES","text_only","n306","finished","593","2026-07-25T14:12:18.000Z","2026-07-25 17:22:09"
"dpt_REG_TEXT_SOCIAL_ANIME_PLANET_RATING_3","0.6603117654120987","3","TabDPT 6️⃣","REG_TEXT_SOCIAL_ANIME_PLANET_RATING","no_text","nlp-srv3.dds.technion.ac.il","finished","149","2026-07-25T14:08:58.000Z","2026-07-25 17:11:06"
"dpt_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_3","0.17741799354553223","3","TabDPT 6️⃣","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","text_only","nlp-srv3.dds.technion.ac.il","finished","450","2026-07-25T14:06:41.000Z","2026-07-25 17:13:49"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_3","0.6987761368396564","3","TabDPT 6️⃣","REG_TEXT_ZOMATO_RESTAURANTS","no_text","n306","finished","482","2026-07-25T08:56:36.000Z","2026-07-25 12:04:36"
