"Name","test_score","fold","model","dataset","multimodal_state","Hostname","State","Runtime","Created","timestamp"
"dpt_REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE_2","0.00029915571212768555","2","TabDPT 6️⃣","REG_TEXT_PROFESSIONAL_COMPANY_EMPLOYEES_SIZE","text_only","nlp-srv3.dds.technion.ac.il","finished","476","2026-07-25T16:00:29.000Z","2026-07-25 19:08:02"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_2","0.2573048587986959","2","TabDPT 6️⃣","REG_TEXT_VIDEO_GAMES_SALES","text_only","nlp-srv3.dds.technion.ac.il","finished","246","2026-07-25T14:22:49.000Z","2026-07-25 17:26:34"
"rf_REG_TEXT_VIDEO_GAMES_SALES_2","0.2298333786811555","2","RandomForest 🌳","REG_TEXT_VIDEO_GAMES_SALES","text_only","n306","finished","170","2026-07-25T14:22:20.000Z","2026-07-25 17:25:09"
"dpt_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.03199883384738478","2","TabDPT 6️⃣","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","text_only","n306","finished","982","2026-07-25T14:12:17.000Z","2026-07-25 17:28:38"
"rf_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.8191195425791717","2","RandomForest 🌳","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","text_only","n306","finished","1176","2026-07-25T14:12:16.000Z","2026-07-25 17:31:51"
"iclv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.09247519812271164","2","TabICLv2 🗼","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","no_text","nlp-srv3.dds.technion.ac.il","finished","15","2026-07-25T14:04:30.000Z","2026-07-25 17:04:22"
"iclv2_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.7360471130389148","2","TabICLv2 🗼","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","text_only","nlp-srv3.dds.technion.ac.il","finished","870","2026-07-25T14:04:21.000Z","2026-07-25 17:18:29"
"real_REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES_2","0.028616094154758187","2","RealMLP 🕸","REG_TEXT_SOCIAL_MUSEUMS_US_REVENUES","no_text","nlp-srv3.dds.technion.ac.il","finished","50","2026-07-25T14:04:16.000Z","2026-07-25 17:04:44"
"rf_REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES_2","-0.10842551260330158","2","RandomForest 🌳","REG_TEXT_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES","text_only","nlp-srv3.dds.technion.ac.il","finished","53","2026-07-25T14:02:40.000Z","2026-07-25 17:03:10"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_2","0.6677686142492578","2","TabDPT 6️⃣","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","519","2026-07-25T08:53:06.000Z","2026-07-25 12:01:24"
"dpt_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8110193981304623","2","TabDPT 6️⃣","REG_TEXT_ZOMATO_RESTAURANTS","text_only","n306","finished","1029","2026-07-25T08:53:04.000Z","2026-07-25 12:10:11"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_2","0.601539510549858","2","XGBoost 🌲","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","15","2026-07-25T08:53:01.000Z","2026-07-25 11:52:54"
"xgb_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7935559558876187","2","XGBoost 🌲","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","618","2026-07-25T08:52:59.000Z","2026-07-25 12:02:55"
"rf_REG_TEXT_ZOMATO_RESTAURANTS_2","0.6414653030832926","2","RandomForest 🌳","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","16","2026-07-25T08:52:45.000Z","2026-07-25 11:52:39"
"rf_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7606232235165078","2","RandomForest 🌳","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","828","2026-07-25T08:52:42.000Z","2026-07-25 12:06:08"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8502990102130039","2","TabICLv2 🗼","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","784","2026-07-25T08:52:21.000Z","2026-07-25 12:05:03"
"iclv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7315303224660736","2","TabICLv2 🗼","REG_TEXT_ZOMATO_RESTAURANTS","no_text","nlp-srv3.dds.technion.ac.il","finished","15","2026-07-25T08:52:21.000Z","2026-07-25 11:52:15"
"real_REG_TEXT_ZOMATO_RESTAURANTS_2","0.6328412006079605","2","RealMLP 🕸","REG_TEXT_ZOMATO_RESTAURANTS","no_text","n306","finished","76","2026-07-25T08:52:16.000Z","2026-07-25 11:53:30"
"real_REG_TEXT_ZOMATO_RESTAURANTS_2","0.819342211679005","2","RealMLP 🕸","REG_TEXT_ZOMATO_RESTAURANTS","text_only","nlp-srv3.dds.technion.ac.il","finished","841","2026-07-25T08:52:13.000Z","2026-07-25 12:05:52"
"dpt_REG_TEXT_VIDEO_GAMES_SALES_2","0.047672877925943435","2","TabDPT 6️⃣","REG_TEXT_VIDEO_GAMES_SALES","no_text","nlp-srv3.dds.technion.ac.il","finished","369","2026-07-25T08:46:42.000Z","2026-07-25 11:52:29"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_2","0.00968735948331001","2","XGBoost 🌲","REG_TEXT_VIDEO_GAMES_SALES","no_text","n306","finished","14","2026-07-25T08:46:31.000Z","2026-07-25 11:46:42"
"rf_REG_TEXT_VIDEO_GAMES_SALES_2","-0.46587986355489175","2","RandomForest 🌳","REG_TEXT_VIDEO_GAMES_SALES","no_text","nlp-srv3.dds.technion.ac.il","finished","10","2026-07-25T08:46:29.000Z","2026-07-25 11:46:18"
"xgb_REG_TEXT_VIDEO_GAMES_SALES_2","0.24221632104310775","2","XGBoost 🌲","REG_TEXT_VIDEO_GAMES_SALES","text_only","n306","finished","111","2026-07-25T08:46:29.000Z","2026-07-25 11:48:19"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.04326152157534868","2","TabICLv2 🗼","REG_TEXT_VIDEO_GAMES_SALES","no_text","n306","finished","13","2026-07-25T08:46:13.000Z","2026-07-25 11:46:25"
"iclv2_REG_TEXT_VIDEO_GAMES_SALES_2","0.3074279434938987","2","TabICLv2 🗼","REG_TEXT_VIDEO_GAMES_SALES","text_only","nlp-srv3.dds.technion.ac.il","finished","234","2026-07-25T08:45:45.000Z","2026-07-25 11:49:17"
