"Name","test_score","pca_components","model","fold","multimodal_state","User","Hostname","dataset_name","Created","Runtime"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8638686677007095","60","TabPFN-v2p5 🇩🇪","4","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:38:10.000Z","9084"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_4","0.719400537171988","60","TabPFN-v2 🤯","4","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T13:22:41.000Z","9362"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8550406175201221","60","TabM Ⓜ️","4","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T12:52:06.000Z","4436"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_4","0.8476218687851136","60","CatBoost 😸","4","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T12:12:29.000Z","4590"
"light_REG_TEXT_ZOMATO_RESTAURANTS_4","0.811403509183124","60","LightGBM 💡","4","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T11:00:09.000Z","4426"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8535842954665991","60","TabPFN-v2p5 🇩🇪","3","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:22:12.000Z","10883"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_3","0.7172081540544355","60","TabPFN-v2 🤯","3","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T10:01:30.000Z","11167"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8603084396716602","60","TabM Ⓜ️","3","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:43:10.000Z","8214"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8472632540788408","60","CatBoost 😸","3","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T08:18:49.000Z","8305"
"light_REG_TEXT_ZOMATO_RESTAURANTS_3","0.8085979002030257","60","LightGBM 💡","3","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:44:44.000Z","8222"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8432107625855287","60","TabPFN-v2p5 🇩🇪","2","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T07:04:57.000Z","10898"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_2","0.7158103986930637","60","TabPFN-v2 🤯","2","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T06:39:16.000Z","11172"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8498821377645592","60","TabM Ⓜ️","2","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:44:51.000Z","9860"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8333352127628315","60","CatBoost 😸","2","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:19:27.000Z","9932"
"light_REG_TEXT_ZOMATO_RESTAURANTS_2","0.8032748172611279","60","LightGBM 💡","2","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T05:04:53.000Z","9836"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8631522772093203","60","TabPFN-v2p5 🇩🇪","1","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:50:11.000Z","10914"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_1","0.7269946987794786","60","TabPFN-v2 🤯","1","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T03:13:11.000Z","11167"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8506504114416747","60","TabM Ⓜ️","1","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:54:46.000Z","8593"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_1","0.845121594361891","60","CatBoost 😸","1","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:44:06.000Z","8679"
"light_REG_TEXT_ZOMATO_RESTAURANTS_1","0.8103937112998091","60","LightGBM 💡","1","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T02:34:54.000Z","8636"
"tabpfnv2p5_REG_TEXT_ZOMATO_RESTAURANTS_0","0.859342531497655","60","TabPFN-v2p5 🇩🇪","0","ft","","n306","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:50:04.000Z","8096"
"tabpfnv2_REG_TEXT_ZOMATO_RESTAURANTS_0","0.7236527868556024","60","TabPFN-v2 🤯","0","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:19:42.000Z","8378"
"tabm_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8544425416390539","60","TabM Ⓜ️","0","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:06:44.000Z","9466"
"cat_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8458109680725517","60","CatBoost 😸","0","ft","","n305","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-14T00:00:05.000Z","9563"
"light_REG_TEXT_ZOMATO_RESTAURANTS_0","0.8128417808637376","60","LightGBM 💡","0","ft","","n309","REG_TEXT_ZOMATO_RESTAURANTS","2026-04-13T23:56:16.000Z","9509"
"tabpfnv2p5_REG_TEXT_VIDEO_GAMES_SALES_4","0.3572472883899711","60","TabPFN-v2p5 🇩🇪","4","ft","","n306","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:41:52.000Z","1098"
"tabpfnv2_REG_TEXT_VIDEO_GAMES_SALES_4","0.24882516191328816","60","TabPFN-v2 🤯","4","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:38:06.000Z","1112"
"tabm_REG_TEXT_VIDEO_GAMES_SALES_4","0.4360072409661721","60","TabM Ⓜ️","4","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:29:39.000Z","1821"
"cat_REG_TEXT_VIDEO_GAMES_SALES_4","0.20913136335646987","60","CatBoost 😸","4","ft","","n305","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:25:27.000Z","5604"
"light_REG_TEXT_VIDEO_GAMES_SALES_4","0.24426713657384735","60","LightGBM 💡","4","ft","","n309","REG_TEXT_VIDEO_GAMES_SALES","2026-04-13T23:22:20.000Z","1809"
